"X26090050_prec.Date","X26090050_prec.Value"
"1972-01-25",8
"1972-02-25",67
"1972-03-25",46
"1972-04-25",2
"1972-05-25",49
"1972-06-25",14
"1972-07-25",17
"1972-08-25",11
"1972-09-25",10
"1972-10-25",31
"1972-11-25",38
"1972-12-25",18
"1973-01-25",0
"1973-02-25",0
"1973-03-25",30
"1973-04-25",35
"1973-05-25",50
"1973-06-25",0
"1973-07-25",0
"1973-08-25",0
"1973-09-25",18
"1973-10-25",45
"1973-11-25",53
"1973-12-25",77
"1974-01-25",26
"1974-02-25",66
"1974-03-25",94
"1974-04-25",47
"1974-05-25",28
"1974-06-25",8
"1974-07-25",0
"1974-08-25",22
"1974-09-25",23
"1974-10-25",70
"1974-11-25",77
"1974-12-25",13
"1975-01-25",24
"1975-02-25",35
"1975-03-25",39
"1975-04-25",29
"1975-05-25",42
"1975-06-25",34
"1975-07-25",48
"1975-08-25",13
"1975-09-25",12
"1975-10-25",34
"1975-11-25",95
"1975-12-25",120
"1976-01-25",2
"1976-02-25",28
"1976-03-25",60
"1976-04-25",27
"1976-05-25",37
"1976-06-25",21
"1976-07-25",2
"1976-08-25",0
"1976-09-25",37
"1976-10-25",81
"1976-11-25",54
"1976-12-25",27
"1977-01-25",0
"1977-02-25",7
"1977-03-25",0
"1977-04-25",110
"1977-05-25",88
"1977-06-25",118
"1977-07-25",37
"1977-08-25",30
"1977-09-25",9
"1977-10-25",50
"1977-11-25",90
"1977-12-25",4
"1978-01-25",12
"1978-02-25",33
"1978-03-25",33
"1978-04-25",73
"1978-05-25",58
"1978-06-25",3
"1978-07-25",15
"1978-08-25",0
"1978-09-25",21
"1978-10-25",12
"1978-11-25",33
"1978-12-25",79
"1979-01-25",21
"1979-02-25",0
"1979-03-25",120
"1979-04-25",83
"1979-05-25",2
"1979-06-25",64
"1979-07-25",0
"1979-08-25",0
"1979-09-25",61
"1979-10-25",24
"1979-11-25",20
"1979-12-25",32
"1980-01-25",0
"1980-02-25",21
"1980-03-25",5
"1980-04-25",108
"1980-05-25",53
"1980-06-25",4
"1980-07-25",0
"1980-08-25",0
"1980-09-25",0
"1980-10-25",0
"1980-11-25",15
"1980-12-25",8
"1981-01-25",9
"1981-02-25",21
"1981-03-25",28
"1981-04-25",47
"1981-05-25",50
"1981-06-25",30
"1981-07-25",21
"1981-08-25",45
"1981-09-25",26
"1981-10-25",56
"1981-11-25",48
"1981-12-25",20
"1982-01-25",133
"1982-02-25",21
"1982-03-25",62
"1982-04-25",41
"1982-05-25",33
"1982-06-25",13
"1982-07-25",1
"1982-08-25",0
"1982-09-25",2
"1982-10-25",36
"1982-11-25",58
"1982-12-25",6
"1983-01-25",0
"1983-02-25",11
"1983-03-25",86
"1983-04-25",67
"1983-05-25",12
"1983-06-25",15
"1983-07-25",12
"1983-08-25",0
"1983-09-25",30
"1983-10-25",8
"1983-11-25",54
"1983-12-25",69
"1984-01-25",43
"1984-02-25",65
"1984-03-25",8
"1984-04-25",42
"1984-05-25",11
"1984-06-25",77
"1984-07-25",18
"1984-08-25",26
"1984-09-25",94
"1984-10-25",63
"1984-11-25",29
"1984-12-25",19
"1985-01-25",8
"1985-02-25",1
"1985-03-25",11
"1985-04-25",32
"1985-05-25",46
"1985-06-25",132
"1985-07-25",7
"1985-08-25",26
"1985-09-25",21
"1985-10-25",16
"1985-11-25",19
"1985-12-25",139
"1986-01-25",5
"1986-02-25",34
"1986-03-25",31
"1986-04-25",64
"1986-05-25",61
"1986-06-25",55
"1986-07-25",2
"1986-08-25",0
"1986-09-25",19
"1986-10-25",49
"1986-11-25",69
"1986-12-25",12
"1987-01-25",12
"1987-02-25",0
"1987-03-25",91
"1987-04-25",44
"1987-05-25",85
"1987-06-25",27
"1987-07-25",1
"1987-08-25",32.3
"1987-09-25",16.2
"1987-10-25",89.5
"1987-11-25",0.8
"1987-12-25",19.7
"1988-01-25",0.9
"1988-02-25",7.1
"1988-03-25",32
"1988-04-25",95
"1988-05-25",12
"1988-06-25",32
"1988-07-25",121
