"X26135090_tmin.Date","X26135090_tmin.Value"
"1990-02-25",16.4
"1990-03-25",16.0444444444444
"1990-04-25",16.5333333333333
"1990-05-25",16.825
"1990-06-25",15.9333333333333
"1990-07-25",16.0222222222222
"1990-08-25",14.9777777777778
"1990-09-25",15.9428571428571
"1990-10-25",15.675
"1990-11-25",16.1555555555556
"1990-12-25",16.16
"1991-01-25",16.6444444444444
"1991-02-25",16.3666666666667
"1991-03-25",16.55
"1991-04-25",15.8
"1991-05-25",16.9555555555556
"1991-06-25",17.1625
"1991-07-25",16.0888888888889
"1991-08-25",16.0222222222222
"1991-09-25",15.7777777777778
"1991-10-25",15.4666666666667
"1991-11-25",15.5111111111111
"1991-12-25",16.4222222222222
"1992-01-25",15.9111111111111
"1992-02-25",16.2
"1992-03-25",NA
"1992-04-25",NA
"1992-05-25",NA
"1992-06-25",NA
"1992-07-25",NA
"1992-08-25",NA
"1992-09-25",NA
"1992-10-25",NA
"1992-11-25",NA
"1992-12-25",NA
"1993-01-25",NA
"1993-02-25",NA
"1993-03-25",NA
"1993-04-25",NA
"1993-05-25",NA
"1993-06-25",NA
"1993-07-25",NA
"1993-08-25",NA
"1993-09-25",14.8
"1993-10-25",15.0222222222222
"1993-11-25",14.8
"1993-12-25",16.3777777777778
"1994-01-25",14.225
"1994-02-25",14.7333333333333
"1994-03-25",14.8
"1994-04-25",15.1
"1994-05-25",15.4222222222222
"1994-06-25",15.6666666666667
"1994-07-25",15.375
"1994-08-25",16.15
"1994-09-25",NA
"1994-10-25",15.2
"1994-11-25",14.2666666666667
"1994-12-25",16.3555555555556
"1995-01-25",15.5555555555556
"1995-02-25",16.7714285714286
"1995-03-25",17.4222222222222
"1995-04-25",17.0222222222222
"1995-05-25",16.2666666666667
"1995-06-25",16.6666666666667
"1995-07-25",15.4571428571429
"1995-08-25",15.9
"1995-09-25",15.9777777777778
"1995-10-25",16.2222222222222
"1995-11-25",16.2
"1995-12-25",16.0888888888889
"1996-01-25",16.1333333333333
"1996-02-25",16.1555555555556
"1996-03-25",16.5111111111111
"1996-04-25",16.3777777777778
"1996-05-25",16.6222222222222
"1996-06-25",15.8
"1996-07-25",15.75
"1996-08-25",15.925
"1996-09-25",16.1444444444444
"1996-10-25",16.1777777777778
"1996-11-25",16.15
"1996-12-25",16.0444444444444
"1997-01-25",16.6888888888889
"1997-02-25",15.775
"1997-03-25",16.9111111111111
"1997-04-25",16.475
"1997-05-25",16.4888888888889
"1997-06-25",16.2888888888889
"1997-07-25",16.8222222222222
"1997-08-25",16.4
"1997-09-25",16.5111111111111
"1997-10-25",16.7111111111111
"1997-11-25",16.9333333333333
"1997-12-25",16.1777777777778
"1998-01-25",17.0222222222222
"1998-02-25",18.2222222222222
"1998-03-25",17.625
"1998-04-25",18.5
"1998-05-25",17.1333333333333
"1998-06-25",16.6222222222222
"1998-07-25",16.6
"1998-08-25",16.9111111111111
"1998-09-25",16.5333333333333
"1998-10-25",16.7111111111111
"1998-11-25",16.6
"1998-12-25",16.0444444444444
"1999-01-25",16.9333333333333
"1999-02-25",16.8222222222222
"1999-03-25",14.8
"1999-04-25",14.6333333333333
"1999-05-25",14.7111111111111
"1999-06-25",16.2222222222222
"1999-07-25",15.0222222222222
"1999-08-25",15.2333333333333
"1999-09-25",14.8
"1999-10-25",14.8222222222222
"1999-11-25",15.3111111111111
"1999-12-25",15.5111111111111
"2000-01-25",15.0666666666667
"2000-02-25",15.2
"2000-03-25",15.8888888888889
"2000-04-25",16.2444444444444
"2000-05-25",16.2666666666667
"2000-06-25",15.7666666666667
"2000-07-25",15.5555555555556
"2000-08-25",15.2888888888889
"2000-09-25",15
"2000-10-25",14.9555555555556
"2000-11-25",14.4222222222222
"2000-12-25",14.8222222222222
"2001-01-25",15.3777777777778
"2001-02-25",14.3555555555556
"2001-03-25",14.16
"2001-04-25",NA
"2001-05-25",15.2
"2001-06-25",14.0222222222222
