"X26170110_prec.Date","X26170110_prec.Value"
"1981-01-25",0
"1981-02-25",8
"1981-03-25",74
"1981-04-25",71
"1981-05-25",99
"1981-06-25",66
"1981-07-25",22
"1981-08-25",24
"1981-09-25",45
"1981-10-25",84
"1981-11-25",78
"1981-12-25",32
"1982-01-25",120
"1982-02-25",45
"1982-03-25",88
"1982-04-25",96
"1982-05-25",84
"1982-06-25",87
"1982-07-25",0
"1982-08-25",25
"1982-09-25",17
"1982-10-25",116
"1982-11-25",60
"1982-12-25",32
"1983-01-25",30
"1983-02-25",20
"1983-03-25",16
"1983-04-25",37
"1983-05-25",64
"1983-06-25",45
"1983-07-25",33
"1983-08-25",16
"1983-09-25",47
"1983-10-25",16
"1983-11-25",13
"1983-12-25",63
"1984-01-25",111
"1984-02-25",38
"1984-03-25",45
"1984-04-25",61.5
"1984-05-25",41
"1984-06-25",133.5
"1984-07-25",84
"1984-08-25",79
"1984-09-25",61
"1984-10-25",38.5
"1984-11-25",66
"1984-12-25",32
"1985-01-25",46
"1985-02-25",0
"1985-03-25",45
"1985-04-25",39
"1985-05-25",44
"1985-06-25",72
"1985-07-25",27
"1985-08-25",66
"1985-09-25",32
"1985-10-25",29
"1985-11-25",82
"1985-12-25",23
"1986-01-25",3
"1986-02-25",0
"1986-03-25",33
"1986-04-25",48
"1986-05-25",32
"1986-06-25",0
"1986-07-25",13
"1986-08-25",11.5
"1986-09-25",4
"1986-10-25",82
"1986-11-25",70
"1986-12-25",12
"1987-01-25",14
"1987-02-25",3
"1987-03-25",18
"1987-04-25",53
"1987-05-25",47
"1987-06-25",6
"1987-07-25",10
"1987-08-25",21
"1987-09-25",69
"1987-10-25",97
"1987-11-25",1
"1987-12-25",49
"1988-01-25",12
"1988-02-25",85
"1988-03-25",0
"1988-04-25",34
"1988-05-25",82
"1988-06-25",55
"1988-07-25",88
"1988-08-25",68
"1988-09-25",76
"1988-10-25",101
"1988-11-25",112
"1988-12-25",102
"1989-01-25",67
"1989-02-25",77
"1989-03-25",36
"1989-04-25",96
"1989-05-25",218
"1989-06-25",29
"1989-07-25",29
"1989-08-25",63
"1989-09-25",18
"1989-10-25",63
"1989-11-25",25
"1989-12-25",40
"1990-01-25",31
"1990-02-25",49
"1990-03-25",30
"1990-04-25",47
"1990-05-25",8
"1990-06-25",11
"1990-07-25",40
"1990-08-25",1
"1990-09-25",8
"1990-10-25",91
"1990-11-25",53
"1990-12-25",59
"1991-01-25",0
"1991-02-25",0
"1991-03-25",0
"1991-04-25",0
"1991-05-25",0
"1991-06-25",0
"1991-07-25",0
"1991-08-25",0
"1991-09-25",0
"1991-10-25",0
"1991-11-25",0
"1991-12-25",0
"1992-01-25",0
"1992-02-25",34
"1992-03-25",34
"1992-04-25",26
"1992-05-25",33
"1992-06-25",17
"1992-07-25",10
"1992-08-25",12
"1992-09-25",33
"1992-10-25",39
"1992-11-25",8
"1992-12-25",0
"1993-01-25",0
"1993-02-25",0
"1993-03-25",0
"1993-04-25",0
"1993-05-25",0
"1993-06-25",0
"1993-07-25",0
"1993-08-25",0
"1993-09-25",0
"1993-10-25",0
"1993-11-25",0
"1993-12-25",0
"1994-01-25",0
"1994-02-25",29
"1994-03-25",60
"1994-04-25",110
"1994-05-25",22
"1994-06-25",0
"1994-07-25",10
"1994-08-25",25
"1994-09-25",44
"1994-10-25",80
"1994-11-25",139
"1994-12-25",73
