"X26150380_prec.Date","X26150380_prec.Value"
"1992-05-25",20
"1992-06-25",101
"1992-07-25",7
"1992-08-25",31
"1992-09-25",67
"1992-10-25",58
"1992-11-25",50
"1992-12-25",128
"1993-01-25",0
"1993-02-25",0
"1993-03-25",0
"1993-04-25",0
"1993-05-25",0
"1993-06-25",0
"1993-07-25",0
"1993-08-25",0
"1993-09-25",0
"1993-10-25",0
"1993-11-25",0
"1993-12-25",0
"1994-01-25",49
"1994-02-25",31
"1994-03-25",10
"1994-04-25",56
"1994-05-25",29
"1994-06-25",64
"1994-07-25",32
"1994-08-25",24
"1994-09-25",25
"1994-10-25",79
"1994-11-25",186
"1994-12-25",38
