"X26135060_prec.Date","X26135060_prec.Value"
"1970-01-25",6.3
"1970-02-25",37.4
"1970-03-25",59
"1970-04-25",57.9
"1970-05-25",58.2
"1970-06-25",83
"1970-07-25",24.8
"1970-08-25",23.7
"1970-09-25",73.6
"1970-10-25",81.9
"1970-11-25",156.1
"1970-12-25",54.3
"1971-01-25",107.9
"1971-02-25",152.6
"1971-03-25",65.3
"1971-04-25",98
"1971-05-25",64.2
"1971-06-25",56.6
"1971-07-25",13.7
"1971-08-25",61.5
"1971-09-25",80.7
"1971-10-25",87.5
"1971-11-25",153.1
"1971-12-25",0.8
"1972-01-25",29.3
"1972-02-25",65
"1972-03-25",61
"1972-04-25",45.5
"1972-05-25",135.8
"1972-06-25",108.1
"1972-07-25",54.5
"1972-08-25",6.1
"1972-09-25",10.5
"1972-10-25",21.5
"1972-11-25",155.8
"1972-12-25",46
"1973-01-25",3
"1973-02-25",55.2
"1973-03-25",134.3
"1973-04-25",54
"1973-05-25",49.8
"1973-06-25",24.5
"1973-07-25",4.5
"1973-08-25",40.7
"1973-09-25",78.2
"1973-10-25",134.8
"1973-11-25",133.1
"1973-12-25",161.7
"1974-01-25",64.1
"1974-02-25",101.7
"1974-03-25",165.7
"1974-04-25",73.3
"1974-05-25",63.6
"1974-06-25",35.1
"1974-07-25",9.1
"1974-08-25",85.9
"1974-09-25",55.6
"1974-10-25",96.3
"1974-11-25",39.3
"1974-12-25",7.4
"1975-01-25",220.8
"1975-02-25",142.7
"1975-03-25",216.8
"1975-04-25",161.6
"1975-05-25",145.4
"1975-06-25",48
"1975-07-25",163
"1975-08-25",138.9
"1975-09-25",165.9
"1975-10-25",170.7
"1975-11-25",75.1
"1975-12-25",36.1
"1976-01-25",210.1
"1976-02-25",220.8
"1976-03-25",224.6
"1976-04-25",147.4
"1976-05-25",87.6
"1976-06-25",165.5
"1976-07-25",3.3
"1976-08-25",174.7
"1976-09-25",182.4
"1976-10-25",202.4
"1976-11-25",202.6
"1976-12-25",216.2
"1977-01-25",0.4
"1977-02-25",179.1
"1977-03-25",189.9
"1977-04-25",212.8
"1977-05-25",134.4
"1977-06-25",128.7
"1977-07-25",65
"1977-08-25",101.4
"1977-09-25",232.3
"1977-10-25",137.1
"1977-11-25",159.9
"1977-12-25",147.4
"1978-01-25",227.6
"1978-02-25",178.4
"1978-03-25",221.8
"1978-04-25",219.6
"1978-05-25",201.9
"1978-06-25",40.7
"1978-07-25",218.3
"1978-08-25",131.4
"1978-09-25",155.8
"1978-10-25",167.2
"1978-11-25",164.6
"1978-12-25",124.6
"1979-01-25",221.6
"1979-02-25",237.3
"1979-03-25",207.7
"1979-04-25",71.5
"1979-05-25",228.5
"1979-06-25",119.3
"1979-07-25",134.3
"1979-08-25",133.7
"1979-09-25",166.2
"1979-10-25",176
"1979-11-25",136.3
"1979-12-25",36.9
"1980-01-25",237
"1980-02-25",136.6
"1980-03-25",241.9
"1980-04-25",229.2
"1980-05-25",138.7
"1980-06-25",140.3
"1980-07-25",242.3
"1980-08-25",130.3
"1980-09-25",176.6
"1980-10-25",162.9
"1980-11-25",164.2
"1980-12-25",131.8
"1981-01-25",177.6
"1981-02-25",135.6
"1981-03-25",182.9
"1981-04-25",131.3
"1981-05-25",117.8
"1981-06-25",213.9
"1981-07-25",129.7
"1981-08-25",184.8
"1981-09-25",125.5
"1981-10-25",216.1
"1981-11-25",23
"1981-12-25",174
"1982-01-25",203.3
"1982-02-25",220.1
"1982-03-25",175.9
"1982-04-25",163.8
"1982-05-25",219.5
"1982-06-25",131.1
"1982-07-25",22.2
"1982-08-25",130.7
"1982-09-25",187.9
"1982-10-25",162.6
"1982-11-25",213.7
"1982-12-25",53.3
"1983-01-25",183.8
"1983-02-25",242.3
"1983-03-25",231.4
"1983-04-25",104.4
"1983-05-25",201.3
"1983-06-25",99.3
"1983-07-25",136
"1983-08-25",173
"1983-09-25",135.6
"1983-10-25",173
"1983-11-25",206.6
"1983-12-25",184.1
"1984-01-25",149.5
"1984-02-25",190.1
"1984-03-25",167.5
"1984-04-25",226.8
"1984-05-25",0
"1984-06-25",0
"1984-07-25",24.4
"1984-08-25",134.4
"1984-09-25",129.8
"1984-10-25",161
"1984-11-25",121.1
"1984-12-25",169.3
"1985-01-25",210.3
"1985-02-25",7.1
"1985-03-25",81.2
"1985-04-25",221
"1985-05-25",135.1
"1985-06-25",208.9
"1985-07-25",133
"1985-08-25",137.9
"1985-09-25",165.3
"1985-10-25",160.3
"1985-11-25",183.2
"1985-12-25",142.3
"1986-01-25",230.1
"1986-02-25",184.1
"1986-03-25",215
"1986-04-25",213.6
"1986-05-25",224.3
"1986-06-25",134.7
"1986-07-25",223.8
"1986-08-25",138
"1986-09-25",174
"1986-10-25",161.7
"1986-11-25",162
"1986-12-25",132.6
"1987-01-25",184.1
"1987-02-25",85.5
"1987-03-25",227.4
"1987-04-25",176.6
"1987-05-25",171.6
"1987-06-25",179.1
"1987-07-25",146.7
"1987-08-25",138.4
"1987-09-25",71.2
"1987-10-25",166.6
"1987-11-25",227.3
"1987-12-25",132.7
"1988-01-25",193.1
"1988-02-25",227.5
"1988-03-25",190.8
"1988-04-25",102.9
"1988-05-25",171.2
"1988-06-25",143.5
"1988-07-25",168.6
"1988-08-25",146.4
"1988-09-25",168.8
"1988-10-25",142.6
"1988-11-25",168.7
"1988-12-25",140.7
"1989-01-25",171.7
"1989-02-25",213.8
"1989-03-25",225.5
"1989-04-25",32.9
"1989-05-25",220.8
"1989-06-25",147.5
"1989-07-25",41.1
"1989-08-25",244.3
"1989-09-25",181.7
"1989-10-25",174.2
"1989-11-25",223.3
"1989-12-25",178.5
"1990-01-25",222.9
"1990-02-25",232.5
"1990-03-25",146.6
"1990-04-25",151.8
"1990-05-25",230.6
"1990-06-25",153.9
"1990-07-25",60.6
"1990-08-25",192.1
"1990-09-25",150.6
"1990-10-25",78.7
"1990-11-25",145.4
"1990-12-25",209
"1991-01-25",0
"1991-02-25",0
"1991-03-25",0
"1991-04-25",0
"1991-05-25",0
"1991-06-25",0
"1991-07-25",0
"1991-08-25",0
"1991-09-25",0
"1991-10-25",0
"1991-11-25",0
"1991-12-25",0
"1992-01-25",231.9
"1992-02-25",142.9
"1992-03-25",248.3
"1992-04-25",195.8
"1992-05-25",226.7
"1992-06-25",184.8
"1992-07-25",235.7
"1992-08-25",187.4
"1992-09-25",145
"1992-10-25",138.7
"1992-11-25",138.4
"1992-12-25",168
"1993-01-25",0
"1993-02-25",0
"1993-03-25",0
"1993-04-25",0
"1993-05-25",0
"1993-06-25",0
"1993-07-25",0
"1993-08-25",0
"1993-09-25",0
"1993-10-25",0
"1993-11-25",0
"1993-12-25",0
"1994-01-25",85.5
"1994-02-25",138.2
"1994-03-25",178.2
"1994-04-25",209.8
"1994-05-25",144.1
"1994-06-25",169.2
"1994-07-25",108.1
"1994-08-25",177.5
"1994-09-25",179.9
"1994-10-25",133.3
"1994-11-25",159.8
"1994-12-25",137.1
"1995-01-25",144.2
"1995-02-25",0
"1995-03-25",0
"1995-04-25",0
