"X26135040_tmax.Date","X26135040_tmax.Value"
"1977-05-25",27.9
"1977-06-25",NA
"1977-07-25",NA
"1977-08-25",NA
"1977-09-25",NA
"1977-10-25",NA
"1977-11-25",NA
"1977-12-25",NA
"1978-01-25",NA
"1978-02-25",NA
"1978-03-25",NA
"1978-04-25",NA
"1978-05-25",NA
"1978-06-25",NA
"1978-07-25",NA
"1978-08-25",NA
"1978-09-25",NA
"1978-10-25",NA
"1978-11-25",NA
"1978-12-25",NA
"1979-01-25",26.4444444444444
"1979-02-25",NA
"1979-03-25",25.0777777777778
"1979-04-25",26.0888888888889
"1979-05-25",NA
"1979-06-25",24.5111111111111
"1979-07-25",27.7
"1979-08-25",27.2444444444444
"1979-09-25",25.4222222222222
"1979-10-25",26.6666666666667
"1979-11-25",26.7777777777778
"1979-12-25",27.4666666666667
"1980-01-25",27.3666666666667
"1980-02-25",26.5777777777778
"1980-03-25",27.8555555555556
"1980-04-25",NA
"1980-05-25",NA
"1980-06-25",NA
"1980-07-25",NA
"1980-08-25",NA
"1980-09-25",NA
"1980-10-25",NA
"1980-11-25",NA
"1980-12-25",26.0777777777778
"1981-01-25",26.6666666666667
"1981-02-25",NA
"1981-03-25",26.7777777777778
"1981-04-25",NA
"1981-05-25",24.4
"1981-06-25",NA
"1981-07-25",25.3
"1981-08-25",NA
"1981-09-25",NA
"1981-10-25",NA
"1981-11-25",NA
"1981-12-25",NA
"1982-01-25",NA
"1982-02-25",NA
"1982-03-25",NA
"1982-04-25",NA
"1982-05-25",NA
"1982-06-25",NA
"1982-07-25",NA
"1982-08-25",26.7555555555556
"1982-09-25",29.15
"1982-10-25",25
"1982-11-25",26.1333333333333
"1982-12-25",25.3
"1983-01-25",27.0444444444444
"1983-02-25",28.3333333333333
"1983-03-25",27.7222222222222
"1983-04-25",26.4777777777778
"1983-05-25",26.6875
"1983-06-25",25.0555555555556
"1983-07-25",26.7666666666667
"1983-08-25",26.3111111111111
"1983-09-25",26.3888888888889
"1983-10-25",26.7222222222222
"1983-11-25",26.4888888888889
"1983-12-25",24.5555555555556
"1984-01-25",24.2222222222222
"1984-02-25",25.0888888888889
"1984-03-25",25.7555555555556
"1984-04-25",26.1
"1984-05-25",25.7333333333333
"1984-06-25",24.3666666666667
"1984-07-25",24.2555555555556
"1984-08-25",26.8333333333333
"1984-09-25",25.7222222222222
"1984-10-25",25.0222222222222
"1984-11-25",23.6777777777778
"1984-12-25",25.8666666666667
