"X21240060_prec.Date","X21240060_prec.Value"
"1987-01-25",0
"1987-02-25",0
"1987-03-25",13
"1987-04-25",31
"1987-05-25",30
"1987-06-25",2
"1987-07-25",52
"1987-08-25",92
"1987-09-25",10
"1987-10-25",50
"1987-11-25",20
"1987-12-25",30
"1988-01-25",0
"1988-02-25",53
"1988-03-25",0
"1988-04-25",105
"1988-05-25",86
"1988-06-25",23
"1988-07-25",48
"1988-08-25",52
"1988-09-25",39
"1988-10-25",23
"1988-11-25",88
"1988-12-25",58
"1989-01-25",0
"1989-02-25",10
"1989-03-25",93
"1989-04-25",49
"1989-05-25",53
"1989-06-25",97
"1989-07-25",8
"1989-08-25",0
"1989-09-25",20
"1989-10-25",85
"1989-11-25",73
"1989-12-25",3
"1990-01-25",38
"1990-02-25",64
"1990-03-25",95
"1990-04-25",32
"1990-05-25",32
"1990-06-25",24
"1990-07-25",3
"1990-08-25",0
"1990-09-25",36
"1990-10-25",46
"1990-11-25",46
"1990-12-25",31
"1991-01-25",0
"1991-02-25",0
"1991-03-25",0
"1991-04-25",0
"1991-05-25",0
"1991-06-25",0
"1991-07-25",0
"1991-08-25",0
"1991-09-25",0
"1991-10-25",0
"1991-11-25",0
"1991-12-25",0
"1992-01-25",74
"1992-02-25",35
"1992-03-25",0
"1992-04-25",53
"1992-05-25",5
"1992-06-25",53
"1992-07-25",0
"1992-08-25",36
"1992-09-25",14
"1992-10-25",10
"1992-11-25",0
"1992-12-25",54
"1993-01-25",0
"1993-02-25",0
"1993-03-25",0
"1993-04-25",0
"1993-05-25",0
"1993-06-25",0
"1993-07-25",0
"1993-08-25",0
"1993-09-25",0
"1993-10-25",0
"1993-11-25",0
"1993-12-25",0
"1994-01-25",19
"1994-02-25",76
"1994-03-25",15
"1994-04-25",42
"1994-05-25",100
"1994-06-25",28
"1994-07-25",72
"1994-08-25",0
"1994-09-25",0
"1994-10-25",83
"1994-11-25",0
"1994-12-25",18
