"X26125140_prec.Date","X26125140_prec.Value"
"1987-01-25",43.6
"1987-02-25",0
"1987-03-25",171
"1987-04-25",116
"1987-05-25",66.8
"1987-06-25",2.3
"1987-07-25",8.5
"1987-08-25",34.4
"1987-09-25",49.6
"1987-10-25",108.9
"1987-11-25",19.6
"1987-12-25",50.7
"1988-01-25",0
"1988-02-25",43.7
"1988-03-25",72.8
"1988-04-25",155.7
"1988-05-25",41.9
"1988-06-25",8.8
"1988-07-25",65.3
"1988-08-25",32.2
"1988-09-25",41
"1988-10-25",77
"1988-11-25",124.3
"1988-12-25",56.8
"1989-01-25",95.2
"1989-02-25",152.2
"1989-03-25",196.8
"1989-04-25",32.8
"1989-05-25",242.2
"1989-06-25",198.1
"1989-07-25",0
"1989-08-25",272.9
"1989-09-25",56.9
"1989-10-25",195.2
"1989-11-25",245.6
"1989-12-25",249.3
"1990-01-25",240.6
"1990-02-25",200.8
"1990-03-25",64.2
"1990-04-25",200.1
"1990-05-25",255.2
"1990-06-25",4
"1990-07-25",156.2
"1990-08-25",0
"1990-09-25",211.9
"1990-10-25",190.6
"1990-11-25",193.2
"1990-12-25",68.3
"1991-01-25",0
"1991-02-25",0
"1991-03-25",0
"1991-04-25",0
"1991-05-25",0
"1991-06-25",0
"1991-07-25",0
"1991-08-25",0
"1991-09-25",0
"1991-10-25",0
"1991-11-25",0
"1991-12-25",0
"1992-01-25",255.4
"1992-02-25",5.8
"1992-03-25",206.9
"1992-04-25",161.3
"1992-05-25",157.9
"1992-06-25",255
"1992-07-25",273.8
"1992-08-25",272.1
"1992-09-25",149.5
"1992-10-25",247.2
"1992-11-25",108.9
"1992-12-25",248.8
