"X26150250_prec.Date","X26150250_prec.Value"
"1974-01-25",11
"1974-02-25",92
"1974-03-25",160
"1974-04-25",75
"1974-05-25",68
"1974-06-25",11
"1974-07-25",0
"1974-08-25",8
"1974-09-25",23
"1974-10-25",173
"1974-11-25",49
"1974-12-25",42
"1975-01-25",0
"1975-02-25",0
"1975-03-25",0
"1975-04-25",0
"1975-05-25",0
"1975-06-25",0
"1975-07-25",0
"1975-08-25",0
"1975-09-25",0
"1975-10-25",0
"1975-11-25",0
"1975-12-25",0
"1976-01-25",0
"1976-02-25",0
"1976-03-25",0
"1976-04-25",0
"1976-05-25",0
"1976-06-25",0
"1976-07-25",0
"1976-08-25",0
"1976-09-25",0
"1976-10-25",0
"1976-11-25",0
"1976-12-25",0
"1977-01-25",0
"1977-02-25",3
"1977-03-25",0
"1977-04-25",22
"1977-05-25",68
"1977-06-25",78
"1977-07-25",40
"1977-08-25",44
"1977-09-25",31
"1977-10-25",106
"1977-11-25",97
"1977-12-25",0
"1978-01-25",0
"1978-02-25",0
"1978-03-25",0
"1978-04-25",0
"1978-05-25",0
"1978-06-25",0
"1978-07-25",0
"1978-08-25",0
"1978-09-25",0
"1978-10-25",0
"1978-11-25",24
"1978-12-25",53
"1979-01-25",14
"1979-02-25",0
"1979-03-25",0
"1979-04-25",48
"1979-05-25",0
"1979-06-25",0
"1979-07-25",0
"1979-08-25",15
"1979-09-25",50
"1979-10-25",7
"1979-11-25",44
"1979-12-25",9
"1980-01-25",0
"1980-02-25",40
"1980-03-25",11
"1980-04-25",37
"1980-05-25",86
"1980-06-25",66
"1980-07-25",2
"1980-08-25",28
"1980-09-25",34
"1980-10-25",162
"1980-11-25",135
"1980-12-25",60
"1981-01-25",1
"1981-02-25",6
"1981-03-25",27
"1981-04-25",94
"1981-05-25",102
"1981-06-25",63
"1981-07-25",18
"1981-08-25",23
"1981-09-25",50
"1981-10-25",40
"1981-11-25",28
"1981-12-25",26
"1982-01-25",178
"1982-02-25",68
"1982-03-25",42
"1982-04-25",105
"1982-05-25",124
"1982-06-25",73
"1982-07-25",10
"1982-08-25",8
"1982-09-25",11
"1982-10-25",75
"1982-11-25",99
"1982-12-25",81
"1983-01-25",11
"1983-02-25",122
"1983-03-25",63
"1983-04-25",47
"1983-05-25",9
"1983-06-25",55
"1983-07-25",39
"1983-08-25",17
"1983-09-25",45
"1983-10-25",39
"1983-11-25",46
"1983-12-25",135
"1984-01-25",149
"1984-02-25",67
"1984-03-25",42
"1984-04-25",0
"1984-05-25",44
"1984-06-25",57
"1984-07-25",40
"1984-08-25",48
"1984-09-25",31
"1984-10-25",55
"1984-11-25",136
"1984-12-25",18
"1985-01-25",151
"1985-02-25",3
"1985-03-25",57
"1985-04-25",47
"1985-05-25",30
"1985-06-25",132
"1985-07-25",11
"1985-08-25",36
"1985-09-25",94
"1985-10-25",56
"1985-11-25",67
"1985-12-25",41
"1986-01-25",45
"1986-02-25",47
"1986-03-25",18
"1986-04-25",73
"1986-05-25",67
"1986-06-25",82
"1986-07-25",4
"1986-08-25",0
"1986-09-25",15
"1986-10-25",87
"1986-11-25",26
"1986-12-25",2
"1987-01-25",24
"1987-02-25",32
"1987-03-25",44
"1987-04-25",39
"1987-05-25",61
"1987-06-25",0
"1987-07-25",30
"1987-08-25",44
"1987-09-25",43
"1987-10-25",71
"1987-11-25",54
"1987-12-25",91
"1988-01-25",0
"1988-02-25",71
"1988-03-25",105
"1988-04-25",49
"1988-05-25",28
"1988-06-25",14
"1988-07-25",54
"1988-08-25",56
"1988-09-25",45
"1988-10-25",76
"1988-11-25",58
"1988-12-25",147
"1989-01-25",35
"1989-02-25",69
"1989-03-25",23
"1989-04-25",14
"1989-05-25",193
"1989-06-25",39
"1989-07-25",2
"1989-08-25",9
"1989-09-25",29
"1989-10-25",44
"1989-11-25",87
"1989-12-25",187
"1990-01-25",47
"1990-02-25",56
"1990-03-25",16
"1990-04-25",6
"1990-05-25",45
"1990-06-25",6
"1990-07-25",1
"1990-08-25",0
"1990-09-25",7
"1990-10-25",61
"1990-11-25",23
"1990-12-25",121
"1991-01-25",22
"1991-02-25",0
"1991-03-25",142
"1991-04-25",88
"1991-05-25",3
"1991-06-25",4
"1991-07-25",17
"1991-08-25",21
"1991-09-25",19
"1991-10-25",47
"1991-11-25",40
"1991-12-25",64
"1992-01-25",60
"1992-02-25",40
"1992-03-25",2
"1992-04-25",5
"1992-05-25",41
"1992-06-25",21
"1992-07-25",0
"1992-08-25",9
"1992-09-25",9
"1992-10-25",24
"1992-11-25",27
"1992-12-25",163
"1993-01-25",65
"1993-02-25",43
"1993-03-25",29
"1993-04-25",74
"1993-05-25",21
"1993-06-25",12
"1993-07-25",20
"1993-08-25",50
"1993-09-25",54
"1993-10-25",39
"1993-11-25",38
"1993-12-25",62
"1994-01-25",32
"1994-02-25",25
"1994-03-25",47
"1994-04-25",113
"1994-05-25",40
"1994-06-25",18
"1994-07-25",28
"1994-08-25",34
"1994-09-25",16
"1994-10-25",92
"1994-11-25",162
"1994-12-25",34
"1995-01-25",1
"1995-02-25",5
"1995-03-25",10
"1995-04-25",89
"1995-05-25",63
"1995-06-25",43
"1995-07-25",39
"1995-08-25",33
"1995-09-25",0
"1995-10-25",28
"1995-11-25",48
"1995-12-25",169
