"X26140190_prec.Date","X26140190_prec.Value"
"1978-07-25",56
"1978-08-25",32
"1978-09-25",34
"1978-10-25",1
"1978-11-25",13
"1978-12-25",69
"1979-01-25",1
"1979-02-25",2
"1979-03-25",49
"1979-04-25",0
"1979-05-25",0
"1979-06-25",0
"1979-07-25",0
"1979-08-25",0
"1979-09-25",0
"1979-10-25",0
"1979-11-25",0
"1979-12-25",0
"1980-01-25",0
"1980-02-25",0
"1980-03-25",0
"1980-04-25",0
"1980-05-25",0
"1980-06-25",0
"1980-07-25",0
"1980-08-25",0
"1980-09-25",0
"1980-10-25",0
"1980-11-25",0
"1980-12-25",0
"1981-01-25",2
"1981-02-25",16
"1981-03-25",32
"1981-04-25",84
"1981-05-25",148
"1981-06-25",54
"1981-07-25",55
"1981-08-25",7
"1981-09-25",31
"1981-10-25",33
"1981-11-25",34
"1981-12-25",22
"1982-01-25",105
"1982-02-25",11
"1982-03-25",25
"1982-04-25",77
"1982-05-25",64
"1982-06-25",45
"1982-07-25",14
"1982-08-25",11
"1982-09-25",79
"1982-10-25",73
"1982-11-25",34
"1982-12-25",17
