"X26125140_tmax.Date","X26125140_tmax.Value"
"1989-01-25",27.1
"1989-02-25",27.1666666666667
"1989-03-25",28.2
"1989-04-25",28.1222222222222
"1989-05-25",26.9111111111111
"1989-06-25",27.4555555555556
"1989-07-25",28.6444444444444
"1989-08-25",30.3222222222222
"1989-09-25",28.2666666666667
"1989-10-25",28.0444444444444
"1989-11-25",27.2888888888889
"1989-12-25",27.7
"1990-01-25",26.7333333333333
"1990-02-25",27.4444444444444
"1990-03-25",28.4333333333333
"1990-04-25",27.8
"1990-05-25",28.3555555555556
"1990-06-25",28.2888888888889
"1990-07-25",28.9555555555556
"1990-08-25",30.2222222222222
"1990-09-25",30.2111111111111
"1990-10-25",26.6222222222222
"1990-11-25",27.6
"1990-12-25",26.6666666666667
"1991-01-25",NA
"1991-02-25",NA
"1991-03-25",NA
"1991-04-25",NA
"1991-05-25",NA
"1991-06-25",NA
"1991-07-25",NA
"1991-08-25",NA
"1991-09-25",NA
"1991-10-25",NA
"1991-11-25",NA
"1991-12-25",NA
"1992-01-25",28.3777777777778
"1992-02-25",29.5888888888889
"1992-03-25",30.1666666666667
"1992-04-25",30.5444444444444
"1992-05-25",28.3555555555556
"1992-06-25",28.3333333333333
"1992-07-25",30.4222222222222
"1992-08-25",30.2333333333333
"1992-09-25",29.8111111111111
"1992-10-25",27.4666666666667
"1992-11-25",27.3
"1992-12-25",27.6444444444444
